src,rel,dst,src_label,dst_label,row_id
6,save,7,life,rules,277
6,save,7,life,rules,278
25,instal,267,ip,tool,279
46,bump,268,employee,setup table,280
267,fall,268,tool,setup table,281
267,rub,98,tool,area,282
267,cause,269,tool,laceration,283
6,save,7,life,rules,284
118,stop,85,operator,process,285
270,encounter,271,umbilical,spots,286
272,show,273,section,photos,287
6,save,7,life,rules,288
274,une,275,basculante dans,benne,289
6,save,7,life,rules,290
50,use,276,technician,lift,291
118,release,277,operator,ratchet strap,292
278,cause,279,strap,seal stab trip,293
6,save,7,life,rules,294
93,pick,267,he,tool,295
172,hit,280,head,monitor cover,296
93,get,281,he,treatment,297
172,hit,280,head,monitor cover,298
6,save,7,life,rules,299
46,lose,178,employee,control,300
46,hit,282,employee,control device,301
46,lose,178,employee,control,302
46,hit,282,employee,control device,303
5,commute,283,title,accident_vehicle collision acesso,304
6,save,7,life,rules,305
284,counterlone,285,we,fixation,306
6,save,7,life,rules,307
286,press,287,collaborator,finger,308
93,receive,102,he,aid,309
94,identify,288,which,fraction,310
6,save,7,life,rules,311
143,commence,150,vessel,transfer,312
289,squeeze,290,tls un -,tensioner,313
289,retract,59,tls un -,frame,314
291,commence,150,2100hrs tls,transfer,315
292,absorb,293,oil,spill mats granules sausages,316
6,save,7,life,rules,317
25,wear,294,ip,safety glasses,318
6,save,7,life,rules,319
295,present,296,psv,loss,320
297,present,298,bow thruster,failure,321
6,save,7,life,rules,322
299,sustaine,24,ld3657 company truck,damages,323
46,go,300,employee,to use it,324
6,save,7,life,rules,325
301,detect,302,hd52 sensors,oil loss,326
1,recover,303,rov,to deck,327
304,recover,302,once rov,oil loss,328
305,identify,302,inspection it,oil loss,329
306,pass,292,check valves,oil,330
1,recover,307,rov,checks operation,331
308,instal,309,valves,checks,332
1,resume,310,rov,operation,333
6,save,7,life,rules,334
311,perform,310,contractors,operation,335
6,save,7,life,rules,336
46,run,312,employee,nmc molds,337
30,weigh,313,that,lbs,338
46,feel,314,employee,pain,339
6,save,7,life,rules,340
315,utilize,316,b14 mti technician,utility knife,341
50,receive,102,technician,aid,342
50,receive,317,technician,stitches,343
6,save,7,life,rules,344
